"album_uri","album_name","album_img","album_release_date","album_release_year","album_popularity","track_name","track_uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","key_mode","track_popularity","artist"
"2cRMVS71c49Pf5SnIlJX3U","Coexist","https://i.scdn.co/image/157e70e972abd949119a276f6543930ff2c8316d","2012-09-10",2012-09-10,62,"Missing","6hUbZBdGn909BiTsv70HP6",0.202,0.294,"G",-13.687,"major",0.0451,0.63,0.0415,0.0992,0.0398,79.308,213507,4,"G major",54,"The XX"
"2cRMVS71c49Pf5SnIlJX3U","Coexist","https://i.scdn.co/image/157e70e972abd949119a276f6543930ff2c8316d","2012-09-10",2012-09-10,62,"Tides","12DE4ela8kEMRNIEYEhKy2",0.714,0.212,"A",-13.178,"minor",0.0444,0.727,0.145,0.0644,0.356,99.033,181000,4,"A minor",51,"The XX"
"2cRMVS71c49Pf5SnIlJX3U","Coexist","https://i.scdn.co/image/157e70e972abd949119a276f6543930ff2c8316d","2012-09-10",2012-09-10,62,"Unfold","39er5vmZ8JXatAKaLaplkl",0.259,0.25,"D",-20.716,"major",0.0518,0.829,0.242,0.112,0.0789,199.768,182920,3,"D major",50,"The XX"
"2cRMVS71c49Pf5SnIlJX3U","Coexist","https://i.scdn.co/image/157e70e972abd949119a276f6543930ff2c8316d","2012-09-10",2012-09-10,62,"Swept Away","3DKqZWrdtLBNKT9OOcdTK2",0.773,0.366,"E",-15.95,"minor",0.056,0.669,0.496,0.0727,0.0608,116.053,299253,4,"E minor",49,"The XX"
"2cRMVS71c49Pf5SnIlJX3U","Coexist","https://i.scdn.co/image/157e70e972abd949119a276f6543930ff2c8316d","2012-09-10",2012-09-10,62,"Our Song","4n9wwuZpBp96K0zXcDsnCg",0.274,0.187,"B",-20.879,"minor",0.0549,0.514,0.388,0.0852,0.039,95.629,193813,4,"B minor",53,"The XX"
"2PXy9USZAoTSdtrxfkPBnl","I See You","https://i.scdn.co/image/328d3fb5348a28e14d17e2a9d28223c349b1bea0","2017-01-13",2017-01-13,65,"Dangerous","33B2QbtAj8mbDpwvGTOnBt",0.774,0.709,"G#",-6.166,"major",0.0465,0.00224,0.00224,0.21,0.565,119.982,250000,4,"G# major",61,"The XX"
"2PXy9USZAoTSdtrxfkPBnl","I See You","https://i.scdn.co/image/328d3fb5348a28e14d17e2a9d28223c349b1bea0","2017-01-13",2017-01-13,65,"Say Something Loving","728zbo72kOoYdGR3AhNsyF",0.627,0.721,"C",-7.782,"minor",0.0304,0.296,6.41e-05,0.231,0.383,130.08,238373,4,"C minor",63,"The XX"
"2PXy9USZAoTSdtrxfkPBnl","I See You","https://i.scdn.co/image/328d3fb5348a28e14d17e2a9d28223c349b1bea0","2017-01-13",2017-01-13,65,"Lips","1onfcprzpSGh2LqrBh17AA",0.523,0.591,"C#",-8.772,"major",0.0543,0.494,0.511,0.0788,0.195,173.94,200627,4,"C# major",58,"The XX"
"2PXy9USZAoTSdtrxfkPBnl","I See You","https://i.scdn.co/image/328d3fb5348a28e14d17e2a9d28223c349b1bea0","2017-01-13",2017-01-13,65,"A Violent Noise","661bbtA19xopO3lH0J4Qvr",0.549,0.423,"C",-8.885,"minor",0.0373,0.745,0.172,0.127,0.144,119.345,227467,4,"C minor",56,"The XX"
"2PXy9USZAoTSdtrxfkPBnl","I See You","https://i.scdn.co/image/328d3fb5348a28e14d17e2a9d28223c349b1bea0","2017-01-13",2017-01-13,65,"Performance","5UCsGZSezdlGA1bY3QMgXG",0.277,0.313,"A",-9.413,"minor",0.0383,0.494,0.00027,0.106,0.0582,84.975,246013,1,"A minor",51,"The XX"
"2PXy9USZAoTSdtrxfkPBnl","I See You","https://i.scdn.co/image/328d3fb5348a28e14d17e2a9d28223c349b1bea0","2017-01-13",2017-01-13,65,"Replica","4O4xuKdvJvl7HpFlYGwudS",0.623,0.44,"G#",-10.934,"major",0.0327,0.468,0.502,0.177,0.511,79.978,249000,4,"G# major",56,"The XX"
"2PXy9USZAoTSdtrxfkPBnl","I See You","https://i.scdn.co/image/328d3fb5348a28e14d17e2a9d28223c349b1bea0","2017-01-13",2017-01-13,65,"Brave For You","53e5O0USYgSCv4md0CXpMY",0.54,0.417,"A#",-11.048,"minor",0.0307,0.664,0.000425,0.106,0.281,134.762,253093,4,"A# minor",50,"The XX"
"2PXy9USZAoTSdtrxfkPBnl","I See You","https://i.scdn.co/image/328d3fb5348a28e14d17e2a9d28223c349b1bea0","2017-01-13",2017-01-13,65,"On Hold","5CPqOpKSk0QcJ3dGdaWcRB",0.723,0.669,"C",-6.784,"major",0.0348,0.0522,0.192,0.109,0.35,125.051,224133,4,"C major",69,"The XX"
"2PXy9USZAoTSdtrxfkPBnl","I See You","https://i.scdn.co/image/328d3fb5348a28e14d17e2a9d28223c349b1bea0","2017-01-13",2017-01-13,65,"I Dare You","044qU7kwVZaDwzWnRsmVVL",0.752,0.543,"C#",-9.483,"major",0.0398,0.623,0.0706,0.107,0.282,126.001,233280,4,"C# major",68,"The XX"
"2PXy9USZAoTSdtrxfkPBnl","I See You","https://i.scdn.co/image/328d3fb5348a28e14d17e2a9d28223c349b1bea0","2017-01-13",2017-01-13,65,"Test Me","3qLwtC9jEWugjkzyZlYgeg",0.253,0.177,"F#",-17.696,"major",0.042,0.904,0.0615,0.119,0.0395,120.259,235827,4,"F# major",49,"The XX"
