album_uri,album_name,album_img,album_release_date,album_release_year,album_popularity,track_name,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,track_popularity,artist
4NQNWfXDGo6MPCscpwuTgz,Trilogy,https://i.scdn.co/image/5eeea2eae09dae3f224f4d440e8222825c124b28,2013-01-01,2013-01-01,41,Rolling Stone - Album Version (Edited),73YDy9nozZlYRCKzinbl4x,0.686,0.334,D#,-11.748,minor,0.0304,0.392,3.05e-5,0.138,0.664,129.918,230387,4,D# minor,27,The Weeknd
4NQNWfXDGo6MPCscpwuTgz,Trilogy,https://i.scdn.co/image/5eeea2eae09dae3f224f4d440e8222825c124b28,2013-01-01,2013-01-01,41,Heaven Or Las Vegas,6hSZPWiHTpTTmyiicWlMX8,0.529,0.71,B,-8.238,minor,0.0695,0.0131,1.74e-4,0.133,0.191,125.05,351467,4,B minor,22,The Weeknd
4NQNWfXDGo6MPCscpwuTgz,Trilogy,https://i.scdn.co/image/5eeea2eae09dae3f224f4d440e8222825c124b28,2013-01-01,2013-01-01,41,Valerie,1cqnGwMySViy27OYfuKLvC,0.634,0.543,F,-6.337,minor,0.0463,0.325,9.95e-6,0.0743,0.426,147.985,286853,4,F minor,27,The Weeknd
0a6nvQQ7hqmFbqAZVUanDW,Kiss Land (Deluxe MENA Version),https://i.scdn.co/image/a315808ee954006999c9c06ae57ced9624a5c89d,2013-09-09,2013-09-09,17,Professional,4HOCKlxanIZAYvi6xlLZwR,0.406,0.614,B,-8.916,minor,0.0595,0.174,2.11e-4,0.07,0.231,120.08,368720,4,B minor,25,The Weeknd
0a6nvQQ7hqmFbqAZVUanDW,Kiss Land (Deluxe MENA Version),https://i.scdn.co/image/a315808ee954006999c9c06ae57ced9624a5c89d,2013-09-09,2013-09-09,17,The Town,2K73sh2Kyr0bisUUe67rO0,0.625,0.529,G#,-8.237,minor,0.0347,0.381,2.87e-6,0.0795,0.192,139.991,307347,4,G# minor,8,The Weeknd
0a6nvQQ7hqmFbqAZVUanDW,Kiss Land (Deluxe MENA Version),https://i.scdn.co/image/a315808ee954006999c9c06ae57ced9624a5c89d,2013-09-09,2013-09-09,17,Adaptation,5f3h1UdxL3A9sDRAJbdfYo,0.635,0.793,B,-6.8,minor,0.0715,0.167,5.18e-4,0.302,0.607,114.942,283933,4,B minor,11,The Weeknd
0a6nvQQ7hqmFbqAZVUanDW,Kiss Land (Deluxe MENA Version),https://i.scdn.co/image/a315808ee954006999c9c06ae57ced9624a5c89d,2013-09-09,2013-09-09,17,Love In The Sky,2QM7GceiaeVC4eH5uApBmx,0.641,0.746,A,-6.961,minor,0.0497,0.219,2.76e-4,0.653,0.348,115.034,267920,4,A minor,3,The Weeknd
0a6nvQQ7hqmFbqAZVUanDW,Kiss Land (Deluxe MENA Version),https://i.scdn.co/image/a315808ee954006999c9c06ae57ced9624a5c89d,2013-09-09,2013-09-09,17,Belong To The World,1HwHhPU5jAkTAzoVhppuex,0.501,0.854,F,-6.267,minor,0.0578,0.0037200000000000002,0,0.123,0.399,120.965,307147,4,F minor,16,The Weeknd
0a6nvQQ7hqmFbqAZVUanDW,Kiss Land (Deluxe MENA Version),https://i.scdn.co/image/a315808ee954006999c9c06ae57ced9624a5c89d,2013-09-09,2013-09-09,17,Live For,5Hegrok6kmVN7uXVWkvgDz,0.63,0.661,A,-7.828,minor,0.162,0.521,0,0.112,0.19,75.989,222693,4,A minor,4,The Weeknd
0a6nvQQ7hqmFbqAZVUanDW,Kiss Land (Deluxe MENA Version),https://i.scdn.co/image/a315808ee954006999c9c06ae57ced9624a5c89d,2013-09-09,2013-09-09,17,Wanderlust,5bFmHEQgR9UCTwPer3tWft,0.629,0.652,C#,-5.235,minor,0.0464,0.0848,0.295,0.067,0.0833,115.946,306693,4,C# minor,15,The Weeknd
0a6nvQQ7hqmFbqAZVUanDW,Kiss Land (Deluxe MENA Version),https://i.scdn.co/image/a315808ee954006999c9c06ae57ced9624a5c89d,2013-09-09,2013-09-09,17,Kiss Land,0sC1e2vvXn6usfpgXVhevu,0.325,0.85,G,-6.651,major,0.107,0.0421,0,0.0622,0.406,121.979,455387,4,G major,4,The Weeknd
0a6nvQQ7hqmFbqAZVUanDW,Kiss Land (Deluxe MENA Version),https://i.scdn.co/image/a315808ee954006999c9c06ae57ced9624a5c89d,2013-09-09,2013-09-09,17,Pretty,5TGCPGkIgNGNz1BjWl2j5J,0.57,0.639,B,-7.731,minor,0.0395,0.0321,2.85e-5,0.402,0.353,125.993,375400,4,B minor,5,The Weeknd
0a6nvQQ7hqmFbqAZVUanDW,Kiss Land (Deluxe MENA Version),https://i.scdn.co/image/a315808ee954006999c9c06ae57ced9624a5c89d,2013-09-09,2013-09-09,17,Tears In The Rain,6mUWMlWX86Mn9kYwSTZqaI,0.66,0.626,C#,-7.849,major,0.0481,0.112,0.204,0.0846,0.185,159.903,444653,4,C# major,8,The Weeknd
0a6nvQQ7hqmFbqAZVUanDW,Kiss Land (Deluxe MENA Version),https://i.scdn.co/image/a315808ee954006999c9c06ae57ced9624a5c89d,2013-09-09,2013-09-09,17,Wanderlust,2jYDC9fMp3FD6TZx3IRI9J,0.741,0.595,C#,-7.471,minor,0.0435,0.1,0.00165,0.108,0.459,116.008,305693,4,C# minor,7,The Weeknd
0a6nvQQ7hqmFbqAZVUanDW,Kiss Land (Deluxe MENA Version),https://i.scdn.co/image/a315808ee954006999c9c06ae57ced9624a5c89d,2013-09-09,2013-09-09,17,Odd Look,5NWZKYemdvViFPnwmOcl3M,0.559,0.839,A#,-5.845,minor,0.0706,0.205,0,0.115,0.268,104.858,252493,4,A# minor,3,The Weeknd
36yJ6fcaSCVsK1tybnNizj,Beauty Behind The Madness,https://i.scdn.co/image/51a60fbb7daba6e6fbc0d3b47e34017dce6f3921,2016-03-16,2016-03-16,25,Real Life,60jW6P7AGw2FozTaqctJ4i,0.585,0.652,B,-5.017,minor,0.0488,0.459,0,0.341,0.342,90.652,223347,4,B minor,16,The Weeknd
36yJ6fcaSCVsK1tybnNizj,Beauty Behind The Madness,https://i.scdn.co/image/51a60fbb7daba6e6fbc0d3b47e34017dce6f3921,2016-03-16,2016-03-16,25,Losers,2bWO9puW3hXQcZZsehDRCo,0.665,0.499,C,-9.83,minor,0.0481,0.0366,3.91e-4,0.505,0.28,91.003,281173,4,C minor,15,The Weeknd
36yJ6fcaSCVsK1tybnNizj,Beauty Behind The Madness,https://i.scdn.co/image/51a60fbb7daba6e6fbc0d3b47e34017dce6f3921,2016-03-16,2016-03-16,25,Tell Your Friends,4cgDltqQz6YKPotLNbfGDn,0.588,0.46,C#,-10.993,minor,0.0491,0.25,0,0.181,0.308,74.539,334200,4,C# minor,15,The Weeknd
36yJ6fcaSCVsK1tybnNizj,Beauty Behind The Madness,https://i.scdn.co/image/51a60fbb7daba6e6fbc0d3b47e34017dce6f3921,2016-03-16,2016-03-16,25,Often,3Hf7SsKqVeZ0uW164edrJl,0.573,0.625,G,-9.773,minor,0.0469,0.247,0,0.128,0.0649,134.032,249107,4,G minor,17,The Weeknd
